<<<<<<< VSPOMs/media/demo.csv
a,b,y,u,x,n
0.000011,1,3.538,90,1,75
x,y,A,p(0),,
699588.6405,9801938.349,359,0,,
699908.3179,9791834.215,742,0,,
670975.1244,9830859.784,348,0,,
663371.3065,9828246.251,521,0,,
681389.6402,9790700.782,324,1,,
655587.9724,9826736.198,211,1,,
684775.1785,9788813.95,371,0,,
659599.7252,9826762.548,496,1,,
679922.2941,9812903.15,517,0,,
644556.1605,9799354.501,425,0,,
647233.2077,9774111.867,288,0,,
652380.9649,9828510.215,249,0,,
676396.9244,9803651.414,539,0,,
675296.4571,9812911.038,813,0,,
694094.6777,9794542.457,428,0,,
686292.4474,9802524.149,204,0,,
654603.5614,9802356.24,542,0,,
642089.8416,9811771.881,369,0,,
664307.2204,9807227.446,323,0,,
691192.257,9800190.457,221,1,,
695247.5829,9797622.82,552,0,,
652800.401,9783546.964,308,0,,
684398.9032,9809132.854,339,0,,
657427.3142,9784602.103,177,0,,
688719.3452,9804600.391,325,0,,
676097.4956,9796701.032,311,0,,
679571.5324,9793213.051,116,1,,
648678.4375,9800575.945,746,1,,
687396.1844,9816892.659,440,1,,
647148.6137,9805876.529,297,0,,
642617.3074,9823054.899,284,0,,
647204.0696,9824810.724,438,0,,
661597.6378,9775333.126,376,0,,
672997.9365,9821344.439,164,0,,
672516.6495,9801709.598,215,0,,
650502.0536,9809864.628,374,0,,
685782.3646,9798675.351,315,0,,
691553.5202,9808504.383,438,0,,
665477.7271,9776767.095,376,0,,
682157.0507,9821573.15,523,0,,
648103.2878,9816567.538,367,0,,
688976.9821,9787569.87,400,0,,
652983.2612,9794069.618,326,0,,
686367.7354,9793391.123,430,0,,
664960.3299,9788590.043,802,0,,
656231.8132,9776565.893,398,0,,
686154.9663,9796073.621,2366,1,,
669698.1466,9811706.38,385,0,,
681088.2117,9798294.987,307,0,,
643865.2709,9815276.714,612,0,,
688426.1671,9812230.349,598,0,,
648753.4738,9825629.025,415,0,,
660679.7362,9801007.638,334,0,,
656828.3948,9797683.987,491,0,,
647718.4363,9794115.409,358,0,,
696009.0766,9804586.294,523,0,,
680176.5211,9806898.616,367,0,,
663144.4033,9817327.491,308,0,,
682088.5699,9804460.441,321,0,,
647047.7253,9782370,249,0,,
645257.6547,9789506.237,294,0,,
659182.3547,9830586.802,257,0,,
679120.6824,9819272.876,464,1,,
642291.9538,9777057.203,610,0,,
668143.4811,9828256.384,336,0,,
676875.9767,9784811.259,681,0,,
684479.8605,9781211.737,155,0,,
642011.3457,9805115.572,308,0,,
649620.0371,9789109.292,337,0,,
654636.7164,9811534.152,195,0,,
685470.7066,9763865.813,341,0,,
675925.1907,9807980.8,602,0,,
692123.384,9789939.665,302,0,,
652518.5608,9774235.015,200,0,,
653486.0502,9789001.69,238,0,,
=======
a,b,y,u,x,n0.0005,1,3.538,90,1,75x,y,A,p(0),,699588.6405,9801938.349,359,0,,699908.3179,9791834.215,742,0,,670975.1244,9830859.784,348,0,,663371.3065,9828246.251,521,0,,681389.6402,9790700.782,324,1,,655587.9724,9826736.198,211,1,,684775.1785,9788813.95,371,0,,659599.7252,9826762.548,496,1,,679922.2941,9812903.15,517,0,,644556.1605,9799354.501,425,0,,647233.2077,9774111.867,288,0,,652380.9649,9828510.215,249,0,,676396.9244,9803651.414,539,0,,675296.4571,9812911.038,813,0,,694094.6777,9794542.457,428,0,,686292.4474,9802524.149,204,0,,654603.5614,9802356.24,542,0,,642089.8416,9811771.881,369,0,,664307.2204,9807227.446,323,0,,691192.257,9800190.457,221,1,,695247.5829,9797622.82,552,0,,652800.401,9783546.964,308,0,,684398.9032,9809132.854,339,0,,657427.3142,9784602.103,177,0,,688719.3452,9804600.391,325,0,,676097.4956,9796701.032,311,0,,679571.5324,9793213.051,116,1,,648678.4375,9800575.945,746,1,,687396.1844,9816892.659,440,1,,647148.6137,9805876.529,297,0,,642617.3074,9823054.899,284,0,,647204.0696,9824810.724,438,0,,661597.6378,9775333.126,376,0,,672997.9365,9821344.439,164,0,,672516.6495,9801709.598,215,0,,650502.0536,9809864.628,374,0,,685782.3646,9798675.351,315,0,,691553.5202,9808504.383,438,0,,665477.7271,9776767.095,376,0,,682157.0507,9821573.15,523,0,,648103.2878,9816567.538,367,0,,688976.9821,9787569.87,400,0,,652983.2612,9794069.618,326,0,,686367.7354,9793391.123,430,0,,664960.3299,9788590.043,802,0,,656231.8132,9776565.893,398,0,,686154.9663,9796073.621,2366,1,,669698.1466,9811706.38,385,0,,681088.2117,9798294.987,307,0,,643865.2709,9815276.714,612,0,,688426.1671,9812230.349,598,0,,648753.4738,9825629.025,415,0,,660679.7362,9801007.638,334,0,,656828.3948,9797683.987,491,0,,647718.4363,9794115.409,358,0,,696009.0766,9804586.294,523,0,,680176.5211,9806898.616,367,0,,663144.4033,9817327.491,308,0,,682088.5699,9804460.441,321,0,,647047.7253,9782370,249,0,,645257.6547,9789506.237,294,0,,659182.3547,9830586.802,257,0,,679120.6824,9819272.876,464,1,,642291.9538,9777057.203,610,0,,668143.4811,9828256.384,336,0,,676875.9767,9784811.259,681,0,,684479.8605,9781211.737,155,0,,642011.3457,9805115.572,308,0,,649620.0371,9789109.292,337,0,,654636.7164,9811534.152,195,0,,685470.7066,9763865.813,341,0,,675925.1907,9807980.8,602,0,,692123.384,9789939.665,302,0,,652518.5608,9774235.015,200,0,,653486.0502,9789001.69,238,0,,
>>>>>>> VSPOMs/media/demo.csv